Address,Latitude,Longitude
"1 Lincoln Blvd, San Francisco, CA 94129, United States",37.8011283,-122.4627571
"3321 16th St, San Francisco, CA 94114, United States",37.7643936,-122.4275063
"1806 Hays Street, San Francisco, CA 94129, United States",37.7885151,-122.4736401
"1 Longford Dr, South San Francisco, CA 94080, United States",37.6664058,-122.4604952
