SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-7-2019,Condo/Co-op,1336 6th Ave,San Francisco,CA,94122,1513336,3,1,Inner Sunset,1210,,1923,391,1251,90,Sold,,,http://www.redfin.com/CA/San-Francisco/1336-6th-Ave-94122/home/1553251,San Francisco MLS,488928,N,Y,37.7635062,-122.4628898
PAST SALE,,Condo/Co-op,586 41st Ave,San Francisco,CA,94121,1025000,8,5,,,,1941,,,,,,,http://www.redfin.com/CA/San-Francisco/586-41st-Ave-94121/home/1515938,,,N,Y,37.777709,-122.5016134
PAST SALE,November-4-2019,Condo/Co-op,438 8th Ave #301,San Francisco,CA,94118,1180000,3,2,Inner Richmond,1130,,1996,363,1044,275,Sold,,,http://www.redfin.com/CA/San-Francisco/438-8th-Ave-94118/unit-301/home/614699,San Francisco MLS,490211,N,Y,37.7801148,-122.4660383
PAST SALE,October-5-2020,Single Family Residential,120 Upland Dr,San Francisco,CA,94127,1835000,3,0,Mount Davidson Manor,1,3410,1931,27,1835000,,Sold,,,http://www.redfin.com/CA/San-Francisco/120-Upland-Dr-94127/home/1220943,San Francisco MLS,498833,N,Y,37.7288517,-122.4622706
PAST SALE,April-17-2019,Single Family Residential,66 Granada,San Francisco,CA,94112,1160000,3,2,Ingleside,1100,2813,1922,564,1055,,Sold,,,http://www.redfin.com/CA/San-Francisco/66-Granada-Ave-94112/home/996902,San Francisco MLS,481897,N,Y,37.719433,-122.456908
PAST SALE,March-9-2020,Single Family Residential,738 Gates St,SAN FRANCISCO,CA,94110,1350000,3,3,SAN FRANCISCO,1210,1750,1965,237,1116,,Sold,,,http://www.redfin.com/CA/San-Francisco/738-Gates-St-94110/home/1256381,MLSListings,ML81780709,N,Y,37.7340316,-122.4145282
PAST SALE,November-28-2018,Single Family Residential,149 Jules Ave,San Francisco,CA,94112,788000,3,2,Ingleside,1237,4238,1920,704,637,,Sold,,,http://www.redfin.com/CA/San-Francisco/149-Jules-Ave-94112/home/1457133,San Francisco MLS,478206,N,Y,37.7209415,-122.4614745
PAST SALE,,Condo/Co-op,48 Pearl St,San Francisco,CA,94103,908000,3,2,,1204,,1909,,754,,,,,http://www.redfin.com/CA/San-Francisco/48-Pearl-St-94103/home/1192140,,,N,Y,37.7704224,-122.4240297
PAST SALE,November-15-2019,Condo/Co-op,66 Cleary Ct #1206,San Francisco,CA,94109,1050000,3,2,Western Addition,1099,,1963,352,955,940,Sold,,,http://www.redfin.com/CA/San-Francisco/66-Cleary-Ct-94109/unit-1206/home/2033219,San Francisco MLS,490744,N,Y,37.7843846,-122.4269748
PAST SALE,January-14-2019,Condo/Co-op,489-491 Utah St #489,San Francisco,CA,94110,1080000,3,2,Potrero Hill,1140,,1904,657,947,335,Sold,,,http://www.redfin.com/CA/San-Francisco/489-Utah-St-94110/unit-489/home/147299016,San Francisco MLS,476672,N,Y,37.7634832,-122.4061541
PAST SALE,October-7-2020,Condo/Co-op,1209 York St,San Francisco,CA,94110,1050000,3,1,Inner Mission,1145,,1875,25,917,,Sold,,,http://www.redfin.com/CA/San-Francisco/1209-York-St-94110/home/735004,San Francisco MLS,502268,N,Y,37.7524795,-122.4078759
PAST SALE,September-10-2020,Single Family Residential,88 Saturn St,San Francisco,CA,94114,1650000,3,1,Corona Heights,1182,2648,1949,52,1396,,Sold,,,http://www.redfin.com/CA/San-Francisco/88-Saturn-St-94114/home/1636981,San Francisco MLS,503252,N,Y,37.7627329,-122.4427959
PAST SALE,,Single Family Residential,329 Silver Ave,San Francisco,CA,94112,1080000,4,3,,,2678,1919,,,,,,,http://www.redfin.com/CA/San-Francisco/329-Silver-Ave-94112/home/1543713,,,N,Y,37.7287503,-122.4302172
PAST SALE,October-8-2020,Single Family Residential,66 Delano Ave,San Francisco,CA,94112,720000,3,1,Mission Terrace,1204,3140,1912,24,598,,Sold,,,http://www.redfin.com/CA/San-Francisco/66-Delano-Ave-94112/home/1604868,San Francisco MLS,504662,N,Y,37.7269728,-122.4404536
PAST SALE,March-8-2019,Single Family Residential,411 Teresita Blvd,San Francisco,CA,94127,1500000,3,2,Miraloma Park,1250,2548,1939,604,1200,,Sold,,,http://www.redfin.com/CA/San-Francisco/411-Teresita-Blvd-94127/home/682864,San Francisco MLS,480328,N,Y,37.740708,-122.448711
PAST SALE,June-10-2020,Single Family Residential,120 Santa Marina St,San Francisco,CA,94110,965000,3,1,Bernal Heights,1123,2495,1906,144,859,,Sold,,,http://www.redfin.com/CA/San-Francisco/120-Santa-Marina-St-94110/home/765347,San Francisco MLS,499554,N,Y,37.739493,-122.420883
PAST SALE,November-1-2019,Condo/Co-op,3268 20th St Unit H,San Francisco,CA,94110,1260000,3,1,Inner Mission,1215,,1909,366,1037,190,Sold,,,http://www.redfin.com/CA/San-Francisco/3268-20th-St-94110/unit-H/home/169630920,San Francisco MLS,490253,N,Y,37.7590238,-122.4140773
PAST SALE,October-18-2019,Condo/Co-op,2893 24th St,San Francisco,CA,94110,1027912,3,2,Inner Mission,,,,380,,453,Sold,,,http://www.redfin.com/CA/San-Francisco/2893-24th-St-94110/home/26838631,San Francisco MLS,491759,N,Y,37.7524329,-122.4098786
PAST SALE,April-22-2019,Condo/Co-op,1254 Rhode Island St #15,San Francisco,CA,94107,1059000,3,2,Potrero Hill,1080,,1989,559,981,564,Sold,,,http://www.redfin.com/CA/San-Francisco/1254-Rhode-Island-St-94107/unit-15/home/735705,San Francisco MLS,480080,N,Y,37.7539036,-122.4020126
PAST SALE,September-5-2019,Single Family Residential,2142 47th Ave,San Francisco,CA,94116,1300000,3,1,Outer Parkside,1220,3000,1938,423,1066,,Sold,,,http://www.redfin.com/CA/San-Francisco/2142-47th-Ave-94116/home/650992,San Francisco MLS,487682,N,Y,37.7465031,-122.5057695
PAST SALE,March-2-2020,Single Family Residential,2262 43rd Ave,San Francisco,CA,94116,1315000,3,2,Outer Parkside,1180,2996,1943,244,1114,,Sold,,,http://www.redfin.com/CA/San-Francisco/2262-43rd-Ave-94116/home/1989381,San Francisco MLS,494234,N,Y,37.7444827,-122.5013834
PAST SALE,October-29-2019,Single Family Residential,2090 31st Ave,SAN FRANCISCO,CA,94116,1213000,3,2,SAN FRANCISCO,1200,2060,1950,369,1011,,Sold,,,http://www.redfin.com/CA/San-Francisco/2090-31st-Ave-94116/home/1290826,MLSListings,ML81769530,N,Y,37.748304,-122.4887037
PAST SALE,January-3-2019,Single Family Residential,5 Wool,San Francisco,CA,94110,1460000,3,1.5,Bernal Heights,1196,1746,1909,668,1221,,Sold,,,http://www.redfin.com/CA/San-Francisco/5-Wool-St-94110/home/1695847,San Francisco MLS,479002,N,Y,37.7415132,-122.4167847
PAST SALE,April-4-2019,Single Family Residential,628 Sweeny,San Francisco,CA,94134,880000,3,1.75,Portola,1200,2269,1942,577,733,,Sold,,,http://www.redfin.com/CA/San-Francisco/628-Sweeny-St-94134/home/1005911,San Francisco MLS,481112,N,Y,37.7307848,-122.4157397
PAST SALE,November-26-2018,Single Family Residential,463 Nevada St,San Francisco,CA,94110,1460000,3,2,Bernal Heights,1250,1751,1964,706,1168,,Sold,,,http://www.redfin.com/CA/San-Francisco/463-Nevada-St-94110/home/765699,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40844389,N,Y,37.73616,-122.4115415
PAST SALE,April-26-2019,Condo/Co-op,1117 Ocean Ave #203,San Francisco,CA,94112,1195000,3,2,Ingleside,1200,,2005,555,996,642,Sold,,,http://www.redfin.com/CA/San-Francisco/1117-Ocean-Ave-94112/unit-203/home/12278045,San Francisco MLS,480929,N,Y,37.7232681,-122.4545622
PAST SALE,September-1-2020,Single Family Residential,1963 Quesada Ave,San Francisco,CA,94124,895000,3,1,Silver Terrace,1025,2861,1947,61,873,,Sold,,,http://www.redfin.com/CA/San-Francisco/1963-Quesada-Ave-94124/home/2032057,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908472,N,Y,37.7360144,-122.3964961
PAST SALE,November-15-2019,Townhouse,7 Littlefield Ter,San Francisco,CA,94107,1040000,3,2,Potrero Hill,1000,,1984,352,1040,255,Sold,,,http://www.redfin.com/CA/San-Francisco/7-Littlefield-Ter-94107/home/1074400,San Francisco MLS,488641,N,Y,37.751649,-122.398919
PAST SALE,October-26-2020,Single Family Residential,409 Los Palmos Dr,San Francisco,CA,94127,1325000,3,1,San Francisco County,1182,2614,1959,6,1121,,Sold,,,http://www.redfin.com/CA/San-Francisco/409-Los-Palmos-Dr-94127/home/2016650,BAREIS,22023038,N,Y,37.7342597,-122.4508778
PAST SALE,September-18-2019,Condo/Co-op,38 Varennes St,San Francisco,CA,94133,1270000,3,2,Telegraph Hill,1246,,1906,410,1019,503,Sold,,,http://www.redfin.com/CA/San-Francisco/38-Varennes-St-94133/home/28473039,San Francisco MLS,487902,N,Y,37.8002676,-122.4066136
PAST SALE,March-12-2019,Condo/Co-op,766 Le Conte Ave,San Francisco,CA,94124,810000,3,2,Bayview Heights,1219,,2001,600,664,,Sold,,,http://www.redfin.com/CA/San-Francisco/766-Le-Conte-Ave-94124/home/1537089,San Francisco MLS,471781,N,Y,37.7166624,-122.3968833
PAST SALE,May-17-2019,Single Family Residential,2339 38th Ave,San Francisco,CA,94116,1190000,3,2,Outer Parkside,1250,3000,1943,534,952,,Sold,,,http://www.redfin.com/CA/San-Francisco/2339-38th-Ave-94116/home/658427,San Francisco MLS,480793,N,Y,37.7432357,-122.4963306
PAST SALE,June-30-2020,Condo/Co-op,305 Bennington St,San Francisco,CA,94110,1480000,3,1.5,Bernal Heights,954,,,124,1551,250,Sold,,,http://www.redfin.com/CA/San-Francisco/305-Bennington-St-94110/unit-L/home/1912118,San Francisco MLS,498523,N,Y,37.7375624,-122.4178245
PAST SALE,October-14-2020,Condo/Co-op,1316 A 7th Ave,San Francisco,CA,94122,1450000,3,2,Inner Sunset,1195,,1914,18,1213,280,Sold,,,http://www.redfin.com/CA/San-Francisco/1316A-7th-Ave-94122/home/17302515,San Francisco MLS,505159,N,Y,37.7637964,-122.4638628
PAST SALE,April-30-2019,Condo/Co-op,612 26th Ave,San Francisco,CA,94121,1220000,3,1,Central Richmond,1181,,1923,551,1033,250,Sold,,,http://www.redfin.com/CA/San-Francisco/612-26th-Ave-94121/home/52059337,San Francisco MLS,482525,N,Y,37.7778452,-122.4853966
PAST SALE,December-9-2019,Single Family Residential,1982 44th Ave,SAN FRANCISCO,CA,94116,1370000,3,1,SAN FRANCISCO,1150,1746,1945,328,1191,,Sold,,,http://www.redfin.com/CA/San-Francisco/1982-44th-Ave-94116/home/1733278,MLSListings,ML81769270,N,Y,37.7497165,-122.5028484
PAST SALE,July-5-2019,Single Family Residential,1883 40th Ave,San Francisco,CA,94122,1325000,3,2,Outer Sunset,1214,2374,1945,485,1091,,Sold,,,http://www.redfin.com/CA/San-Francisco/1883-40th-Ave-94122/home/1644526,San Francisco MLS,485050,N,Y,37.7517441,-122.4990939
PAST SALE,June-12-2019,Single Family Residential,262 Evelyn Way,San Francisco,CA,94127,1350000,3,1,Miraloma Park,1006,2443,1944,508,1342,,Sold,,,http://www.redfin.com/CA/San-Francisco/262-Evelyn-Way-94127/home/1686396,San Francisco MLS,484228,N,Y,37.742412,-122.4490646
PAST SALE,May-29-2019,Single Family Residential,59 Stanford Heights Ave,San Francisco,CA,94127,1325000,3,2,Miraloma Park,1205,,1960,522,1100,,Sold,,,http://www.redfin.com/CA/San-Francisco/59-Stanford-Heights-Ave-94127/home/1280901,San Francisco MLS,484283,N,Y,37.7349552,-122.4500634
PAST SALE,July-26-2019,Single Family Residential,232 Evelyn Way,San Francisco,CA,94127,1350000,3,1,Miraloma Park,1006,2326,1944,464,1342,,Sold,,,http://www.redfin.com/CA/San-Francisco/232-Evelyn-Way-94127/home/2024451,San Francisco MLS,486742,N,Y,37.742734,-122.449846
PAST SALE,March-1-2019,Condo/Co-op,831 Oak St,San Francisco,CA,94117,1050000,3,2,Hayes Valley,1186,4056,1900,611,885,350,Sold,,,http://www.redfin.com/CA/San-Francisco/831-Oak-St-94117/home/148690896,San Francisco MLS,479834,N,Y,37.7735765,-122.4330636
